fullName,phone,residence,email,service,foodQuality,beverageQuality,atmosphere,valueForMoney,cleanliness,staffFriendliness,experience,interests,visitedBefore,visitFrequency,source,otherSource,timestamp,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Tanvi Kulkarni,9342357008,Delhi,tanvi628@gmail.com,3,4,4,4,2,2,3,Average experience overall,Volunteering,Yes,5,Other,Ads,"01/10/2026, 11:45:43 AM",,,,,,,,
Ananya Iyer,9636180041,Bangalore,ananya668@gmail.com,5,5,4,4,5,4,4,Fantastic food and great staff,"Volunteering, Fostering, Adopting",Yes,2,Word of Mouth,,"01/11/2026, 2:30:02 AM",,,,,,,,
Vikram Desai,9592609658,Jaipur,vikram304@gmail.com,1,2,1,2,2,2,1,Cleanliness was unacceptable,"Adopting, Volunteering, Donating, Fostering",Yes,1,Other,nan,"01/11/2026, 10:59:04 AM",,,,,,,,
Riya Sharma,9975964919,Indore,riya212@gmail.com,1,1,2,2,2,2,2,Cleanliness was unacceptable,"Volunteering, Fostering",Yes,1,Other,Walk-in,"01/11/2026, 4:44:00 PM",,,,,,,,
Riya Sharma,9350177867,Indore,riya158@gmail.com,4,4,4,4,4,4,4,Top quality in every aspect,"Volunteering, Adopting",Yes,3,Other,nan,"01/11/2026, 5:16:30 PM",,,,,,,,
Tanvi Kulkarni,9279882742,Surat,tanvi782@gmail.com,5,5,5,4,5,5,5,Top quality in every aspect,"Volunteering, Fostering, Adopting, Donating",No,3,Other,Event,"01/12/2026, 5:34:06 PM",,,,,,,,
Sahil Khan,9125363450,Delhi,sahil780@gmail.com,2,1,2,1,2,1,2,Very bad service and rude staff,"Fostering, Adopting, Volunteering",Yes,3,Google,,"01/13/2026, 3:56:26 AM",,,,,,,,
Vikram Desai,9474506847,Kolkata,vikram622@gmail.com,2,2,4,3,4,3,2,Good but can improve,"Donating, Fostering",No,1,Other,Ads,"01/13/2026, 8:38:35 AM",,,,,,,,
Rohit Jain,9859067222,Mumbai,rohit208@gmail.com,2,2,2,3,3,4,2,"Decent place, nothing special","Volunteering, Donating, Fostering, Adopting",Yes,1,Other,nan,"01/13/2026, 12:57:21 PM",,,,,,,,
Rohit Jain,9751760262,Chandigarh,rohit180@gmail.com,3,3,3,3,2,4,4,Service was okay,"Fostering, Adopting",Yes,4,Other,Walk-in,"01/13/2026, 3:31:05 PM",,,,,,,,
Sneha Joshi,9185015312,Ahmedabad,sneha210@gmail.com,2,2,1,1,1,1,1,Very bad service and rude staff,Adopting,No,5,Other,Event,"01/14/2026, 1:50:59 AM",,,,,,,,
Simran Kaur,9458397467,Chandigarh,simran682@gmail.com,2,2,3,2,3,2,4,Food was fine,"Fostering, Adopting, Volunteering, Donating",Yes,3,Instagram,,"01/14/2026, 5:47:35 AM",,,,,,,,
Ishita Gupta,9432621689,Bangalore,ishita721@gmail.com,4,4,5,4,4,5,5,Perfect ambience and service,Fostering,Yes,4,Other,nan,"01/14/2026, 10:43:41 AM",,,,,,,,
Sahil Khan,9403536058,Chandigarh,sahil570@gmail.com,1,2,1,1,1,1,1,Food quality was poor,Donating,No,1,Instagram,,"01/14/2026, 4:25:26 PM",,,,,,,,
Arjun Kapoor,9952459750,Bangalore,arjun526@gmail.com,2,2,2,2,1,2,2,"Not satisfied, won't visit again","Fostering, Donating, Adopting",Yes,4,Instagram,,"01/14/2026, 4:46:00 PM",,,,,,,,
Karan Patel,9185876008,Chandigarh,karan72@gmail.com,2,2,1,1,2,2,1,Terrible experience overall,Adopting,Yes,4,Other,Walk-in,"01/14/2026, 11:31:06 PM",,,,,,,,
Neha Verma,9756272797,Chandigarh,neha499@gmail.com,1,2,2,2,2,2,2,Terrible experience overall,"Volunteering, Donating",No,5,Other,Walk-in,"01/15/2026, 2:39:00 AM",,,,,,,,
Rahul Singh,9730171951,Hyderabad,rahul490@gmail.com,2,2,1,1,2,1,1,Food quality was poor,Adopting,Yes,2,Other,nan,"01/15/2026, 3:05:36 AM",,,,,,,,
Karan Patel,9140851966,Pune,karan309@gmail.com,4,4,2,3,3,2,3,Average experience overall,Adopting,No,4,Other,Ads,"01/15/2026, 9:44:05 AM",,,,,,,,
Sneha Joshi,9432739200,Kolkata,sneha224@gmail.com,5,4,4,5,4,4,5,Fantastic food and great staff,"Volunteering, Fostering",Yes,1,Other,Walk-in,"01/15/2026, 11:00:00 AM",,,,,,,,
Pooja Reddy,9060900985,Delhi,pooja534@gmail.com,2,2,2,1,1,1,2,Terrible experience overall,"Donating, Fostering, Adopting, Volunteering",No,3,Other,nan,"01/16/2026, 2:36:53 AM",,,,,,,,
Simran Kaur,9705912992,Mumbai,simran806@gmail.com,2,2,2,1,1,1,2,Terrible experience overall,"Fostering, Donating",Yes,1,Instagram,,"01/17/2026, 12:29:40 AM",,,,,,,,
Karan Patel,9239212231,Jaipur,karan711@gmail.com,1,2,1,1,2,2,2,Cleanliness was unacceptable,"Adopting, Volunteering",Yes,2,Other,Walk-in,"01/17/2026, 9:21:46 PM",,,,,,,,
Pooja Reddy,9293416909,Noida,pooja428@gmail.com,3,2,4,4,4,2,3,Average experience overall,Volunteering,Yes,1,Google,,"01/18/2026, 10:45:50 AM",,,,,,,,
Neha Verma,9693667026,Hyderabad,neha661@gmail.com,2,2,1,2,1,2,1,Very bad service and rude staff,"Fostering, Volunteering, Adopting",Yes,1,Other,Walk-in,"01/20/2026, 1:21:15 AM",,,,,,,,
Simran Kaur,9137753177,Pune,simran494@gmail.com,5,5,5,4,5,5,5,Fantastic food and great staff,Volunteering,Yes,3,Word of Mouth,,"01/20/2026, 3:20:52 PM",,,,,,,,
Manav Bansal,9245379695,Chennai,manav579@gmail.com,2,1,1,2,2,1,1,"Not satisfied, won't visit again",Fostering,No,1,Instagram,,"01/22/2026, 1:30:34 PM",,,,,,,,
Dev Shah,9512581426,Bangalore,dev550@gmail.com,1,1,1,1,2,1,2,Food quality was poor,Donating,Yes,3,Other,Ads,"01/23/2026, 12:55:30 PM",,,,,,,,
Riya Sharma,9778583719,Jaipur,riya53@gmail.com,1,1,2,1,1,2,1,"Not satisfied, won't visit again","Adopting, Volunteering, Fostering",Yes,5,Other,Event,"01/23/2026, 2:38:20 PM",,,,,,,,
Sneha Joshi,9467972311,Ahmedabad,sneha291@gmail.com,4,3,4,4,2,2,3,Service was okay,Fostering,No,2,Word of Mouth,,"01/24/2026, 2:42:16 AM",,,,,,,,
Rahul Singh,9019713022,Bangalore,rahul292@gmail.com,4,4,4,5,5,4,4,Top quality in every aspect,"Donating, Volunteering, Fostering",No,4,Word of Mouth,,"01/24/2026, 6:33:40 PM",,,,,,,,
Manav Bansal,9444863488,Pune,manav614@gmail.com,5,4,4,4,5,5,4,"Amazing experience, loved everything","Fostering, Volunteering, Adopting",Yes,3,Other,nan,"01/24/2026, 9:44:45 PM",,,,,,,,
Aditya Roy,9047215970,Pune,aditya204@gmail.com,4,4,2,3,3,3,3,"Decent place, nothing special","Fostering, Volunteering, Adopting, Donating",No,5,Google,,"01/24/2026, 10:56:13 PM",,,,,,,,
Riya Sharma,9476097166,Indore,riya630@gmail.com,5,4,5,4,4,4,4,"Absolutely loved it, will come again","Fostering, Donating, Adopting, Volunteering",Yes,4,Other,Walk-in,"01/24/2026, 11:58:02 PM",,,,,,,,
Priya Nair,9239397040,Chandigarh,priya396@gmail.com,5,5,4,5,5,4,5,Top quality in every aspect,Adopting,No,5,Word of Mouth,,"01/25/2026, 3:18:27 AM",,,,,,,,
Meera Pillai,9029397299,Ahmedabad,meera257@gmail.com,1,1,2,2,2,1,2,Food quality was poor,"Donating, Adopting, Volunteering",Yes,1,Google,,"01/25/2026, 11:43:09 AM",,,,,,,,
Pooja Reddy,9624108313,Chandigarh,pooja309@gmail.com,4,3,2,4,2,2,2,Average experience overall,"Volunteering, Fostering, Donating, Adopting",No,5,Instagram,,"01/26/2026, 4:36:30 AM",,,,,,,,
Ishita Gupta,9819579001,Indore,ishita238@gmail.com,1,1,2,2,1,2,1,Food quality was poor,"Volunteering, Fostering, Adopting",No,3,Instagram,,"01/26/2026, 11:23:36 AM",,,,,,,,
Rohit Jain,9145375447,Ahmedabad,rohit839@gmail.com,1,2,1,1,1,2,2,Cleanliness was unacceptable,Adopting,No,2,Other,Event,"01/26/2026, 5:22:55 PM",,,,,,,,
Arjun Kapoor,9497857907,Kochi,arjun58@gmail.com,2,1,1,2,1,2,1,Terrible experience overall,"Adopting, Volunteering",Yes,1,Instagram,,"01/27/2026, 12:16:26 AM",,,,,,,,
Manav Bansal,9363250834,Ahmedabad,manav674@gmail.com,4,4,3,4,2,2,3,Good but can improve,"Volunteering, Fostering",Yes,2,Instagram,,"01/27/2026, 9:29:38 PM",,,,,,,,
Simran Kaur,9171032743,Ahmedabad,simran69@gmail.com,2,2,1,1,2,2,2,Food quality was poor,"Fostering, Adopting, Donating",No,1,Instagram,,"01/28/2026, 12:05:06 AM",,,,,,,,
Simran Kaur,9737610895,Kolkata,simran257@gmail.com,2,1,2,1,2,1,1,Terrible experience overall,"Volunteering, Adopting, Fostering, Donating",No,4,Google,,"01/28/2026, 4:21:52 AM",,,,,,,,
Priya Nair,9237805214,Kolkata,priya933@gmail.com,1,1,1,2,2,2,2,Cleanliness was unacceptable,Fostering,Yes,1,Word of Mouth,,"01/28/2026, 1:22:22 PM",,,,,,,,
Karan Patel,9102245539,Kochi,karan814@gmail.com,4,4,5,4,5,5,4,"Amazing experience, loved everything",Fostering,Yes,5,Instagram,,"01/29/2026, 7:22:19 PM",,,,,,,,
Meera Pillai,9007894556,Surat,meera437@gmail.com,4,4,5,5,4,5,4,Top quality in every aspect,"Fostering, Adopting",Yes,5,Other,Walk-in,"01/30/2026, 12:02:56 AM",,,,,,,,
Ananya Iyer,9645990250,Surat,ananya925@gmail.com,2,3,2,2,3,2,2,Good but can improve,Adopting,No,1,Other,nan,"01/30/2026, 12:10:54 AM",,,,,,,,
Riya Sharma,9281262237,Kolkata,riya535@gmail.com,3,2,3,3,4,4,3,Good but can improve,"Volunteering, Fostering",No,2,Word of Mouth,,"01/30/2026, 2:40:37 AM",,,,,,,,
Rahul Singh,9982793931,Chennai,rahul926@gmail.com,4,5,4,5,4,5,4,Fantastic food and great staff,"Fostering, Volunteering, Adopting, Donating",No,5,Instagram,,"01/30/2026, 6:22:26 AM",,,,,,,,
Aarav Mehta,9960745498,Pune,aarav279@gmail.com,3,3,3,4,4,2,2,Service was okay,"Volunteering, Adopting",No,3,Google,,"01/30/2026, 10:35:34 AM",,,,,,,,
Aarav Mehta,9038329033,Indore,aarav184@gmail.com,1,1,1,2,1,1,2,Cleanliness was unacceptable,Donating,No,2,Other,nan,"01/30/2026, 2:59:23 PM",,,,,,,,
Neha Verma,9053878633,Mumbai,neha299@gmail.com,3,2,4,2,4,4,2,Average experience overall,"Volunteering, Donating, Fostering, Adopting",Yes,2,Instagram,,"01/30/2026, 3:42:09 PM",,,,,,,,
Sneha Joshi,9441537645,Chennai,sneha974@gmail.com,2,1,2,2,2,1,1,Food quality was poor,"Fostering, Donating, Adopting",No,1,Word of Mouth,,"01/31/2026, 3:29:57 AM",,,,,,,,
Simran Kaur,9319019289,Bangalore,simran174@gmail.com,3,3,4,4,4,4,4,"Decent place, nothing special","Donating, Fostering, Adopting",Yes,5,Word of Mouth,,"02/01/2026, 2:31:36 AM",,,,,,,,
Aditya Roy,9627246835,Mumbai,aditya827@gmail.com,4,5,4,4,5,4,4,"Amazing experience, loved everything","Donating, Volunteering, Adopting",No,5,Instagram,,"02/01/2026, 10:56:33 AM",,,,,,,,
Ananya Iyer,9558226891,Surat,ananya81@gmail.com,5,5,5,5,5,5,4,Fantastic food and great staff,"Volunteering, Adopting, Donating",No,2,Google,,"02/01/2026, 11:25:35 AM",,,,,,,,
Arjun Kapoor,9608784029,Kochi,arjun260@gmail.com,4,4,4,4,4,5,4,Top quality in every aspect,Adopting,No,1,Google,,"02/02/2026, 7:27:30 PM",,,,,,,,
Rahul Singh,9012848218,Bangalore,rahul889@gmail.com,5,4,4,5,4,4,4,Top quality in every aspect,"Volunteering, Adopting",Yes,5,Other,nan,"02/03/2026, 1:09:57 AM",,,,,,,,
Tanvi Kulkarni,9346592873,Chennai,tanvi245@gmail.com,5,4,4,4,5,4,4,"Amazing experience, loved everything","Adopting, Donating, Volunteering",No,3,Google,,"02/03/2026, 2:17:41 AM",,,,,,,,
Arjun Kapoor,9120231736,Noida,arjun946@gmail.com,1,1,1,2,1,2,2,Very bad service and rude staff,"Fostering, Volunteering, Donating",No,5,Other,Event,"02/03/2026, 3:44:05 AM",,,,,,,,
Tanvi Kulkarni,9220537447,Jaipur,tanvi604@gmail.com,4,2,3,2,3,2,2,Average experience overall,"Volunteering, Donating, Adopting",Yes,3,Google,,"02/04/2026, 5:20:49 AM",,,,,,,,
Riya Sharma,9163202730,Pune,riya778@gmail.com,4,5,4,4,5,4,5,"Amazing experience, loved everything","Donating, Adopting, Volunteering",No,3,Other,Ads,"02/04/2026, 8:48:58 PM",,,,,,,,
Aditya Roy,9674652202,Ahmedabad,aditya301@gmail.com,4,4,4,4,4,4,5,Perfect ambience and service,"Adopting, Fostering",Yes,3,Other,nan,"02/05/2026, 2:14:25 AM",,,,,,,,
Arjun Kapoor,9827507794,Chandigarh,arjun238@gmail.com,1,2,2,2,1,2,2,Cleanliness was unacceptable,"Fostering, Volunteering, Adopting",No,4,Instagram,,"02/05/2026, 3:52:38 AM",,,,,,,,
Karan Patel,9845890895,Ahmedabad,karan566@gmail.com,4,4,5,4,4,5,4,Top quality in every aspect,"Fostering, Adopting, Donating",No,3,Other,Event,"02/05/2026, 8:49:37 PM",,,,,,,,
Manav Bansal,9408992620,Bangalore,manav843@gmail.com,2,3,4,3,4,3,3,"Decent place, nothing special","Adopting, Volunteering, Donating, Fostering",Yes,3,Other,nan,"02/06/2026, 5:20:00 PM",,,,,,,,
Rahul Singh,9803620203,Chandigarh,rahul618@gmail.com,2,4,3,4,2,2,2,Good but can improve,Donating,Yes,5,Instagram,,"02/06/2026, 7:07:50 PM",,,,,,,,
Aditya Roy,9602043938,Hyderabad,aditya576@gmail.com,5,4,5,5,5,5,5,Top quality in every aspect,Fostering,No,5,Instagram,,"02/07/2026, 10:13:33 AM",,,,,,,,
Sahil Khan,9247321489,Jaipur,sahil364@gmail.com,5,5,4,5,5,5,5,Perfect ambience and service,"Adopting, Donating",Yes,2,Other,Ads,"02/07/2026, 2:40:55 PM",,,,,,,,
Rahul Singh,9941560413,Ahmedabad,rahul851@gmail.com,5,5,5,4,5,4,4,Fantastic food and great staff,"Fostering, Volunteering, Donating",Yes,4,Google,,"02/08/2026, 12:20:55 AM",,,,,,,,
Dev Shah,9994267632,Jaipur,dev618@gmail.com,5,4,4,5,5,5,4,"Absolutely loved it, will come again","Donating, Volunteering, Adopting, Fostering",No,1,Other,nan,"02/08/2026, 12:53:22 AM",,,,,,,,
Ananya Iyer,9200106888,Kochi,ananya980@gmail.com,3,3,3,4,4,3,3,Good but can improve,"Fostering, Donating",No,1,Google,,"02/08/2026, 2:41:12 AM",,,,,,,,
Arjun Kapoor,9821472497,Chandigarh,arjun120@gmail.com,2,2,3,4,4,3,4,Service was okay,Volunteering,No,1,Instagram,,"02/08/2026, 3:12:03 AM",,,,,,,,
Sneha Joshi,9944559094,Indore,sneha179@gmail.com,5,5,4,5,5,4,5,Perfect ambience and service,"Fostering, Volunteering, Adopting",No,2,Other,Walk-in,"02/08/2026, 9:59:32 AM",,,,,,,,
Rohit Jain,9810546484,Jaipur,rohit944@gmail.com,2,2,1,1,2,2,2,"Not satisfied, won't visit again","Donating, Adopting, Fostering",No,1,Other,Event,"02/08/2026, 1:12:43 PM",,,,,,,,
Dev Shah,9096107293,Chandigarh,dev370@gmail.com,2,4,3,3,3,4,4,Food was fine,"Fostering, Donating, Volunteering, Adopting",Yes,1,Other,Walk-in,"02/08/2026, 1:35:20 PM",,,,,,,,
Priya Nair,9731303914,Kolkata,priya795@gmail.com,1,1,2,2,2,2,2,Cleanliness was unacceptable,"Donating, Volunteering",Yes,1,Instagram,,"02/08/2026, 1:56:02 PM",,,,,,,,
Rahul Singh,9543451254,Indore,rahul171@gmail.com,1,2,1,2,1,2,1,"Not satisfied, won't visit again","Donating, Adopting",Yes,3,Word of Mouth,,"02/08/2026, 10:07:31 PM",,,,,,,,
Rohit Jain,9913674897,Ahmedabad,rohit427@gmail.com,2,1,1,2,2,1,1,"Not satisfied, won't visit again","Volunteering, Adopting, Fostering, Donating",No,1,Instagram,,"02/09/2026, 5:19:13 AM",,,,,,,,
Arjun Kapoor,9007797038,Nagpur,arjun641@gmail.com,4,3,3,2,2,2,2,Good but can improve,"Volunteering, Fostering, Donating",No,5,Instagram,,"02/09/2026, 7:59:54 AM",,,,,,,,
Vikram Desai,9665003492,Noida,vikram652@gmail.com,1,1,2,2,2,2,1,Very bad service and rude staff,Donating,No,3,Other,nan,"02/09/2026, 10:53:16 AM",,,,,,,,
Ishita Gupta,9410741939,Pune,ishita679@gmail.com,3,2,3,3,4,3,4,Average experience overall,"Adopting, Donating, Fostering",No,2,Other,Walk-in,"02/10/2026, 8:11:00 AM",,,,,,,,
Meera Pillai,9088546853,Surat,meera315@gmail.com,5,4,4,4,5,5,5,Perfect ambience and service,"Fostering, Volunteering, Donating",Yes,2,Other,Walk-in,"02/10/2026, 9:16:25 AM",,,,,,,,
Dev Shah,9106694163,Noida,dev462@gmail.com,3,3,3,3,4,3,2,"Decent place, nothing special","Fostering, Donating, Volunteering",No,2,Google,,"02/10/2026, 11:45:14 AM",,,,,,,,
Ishita Gupta,9356825557,Chennai,ishita63@gmail.com,2,1,1,1,2,2,2,Cleanliness was unacceptable,"Adopting, Donating, Fostering",No,1,Other,nan,"02/10/2026, 1:17:12 PM",,,,,,,,
Sahil Khan,9560493410,Kolkata,sahil713@gmail.com,2,4,4,3,4,4,4,Average experience overall,"Fostering, Volunteering, Adopting, Donating",Yes,1,Google,,"02/10/2026, 7:22:46 PM",,,,,,,,
Vikram Desai,9414924544,Kochi,vikram173@gmail.com,5,5,4,5,4,4,5,Fantastic food and great staff,"Adopting, Fostering, Volunteering, Donating",No,4,Other,Walk-in,"02/10/2026, 8:10:34 PM",,,,,,,,
Sahil Khan,9838874573,Indore,sahil646@gmail.com,3,3,2,2,4,2,2,"Decent place, nothing special","Donating, Volunteering, Fostering",Yes,5,Other,nan,"02/11/2026, 1:11:30 AM",,,,,,,,
Sahil Khan,9715742538,Ahmedabad,sahil463@gmail.com,1,2,1,2,2,2,2,"Not satisfied, won't visit again","Volunteering, Fostering, Donating",Yes,3,Other,nan,"02/11/2026, 2:34:01 AM",,,,,,,,
Ananya Iyer,9054034590,Pune,ananya910@gmail.com,2,2,1,1,2,1,1,Food quality was poor,Volunteering,No,1,Other,Event,"02/11/2026, 3:43:06 AM",,,,,,,,
Simran Kaur,9049459432,Ahmedabad,simran633@gmail.com,2,2,4,4,3,3,2,Average experience overall,Donating,No,5,Other,Ads,"02/11/2026, 10:28:55 AM",,,,,,,,
Priya Nair,9178040868,Chennai,priya839@gmail.com,2,2,4,4,3,2,3,Food was fine,Volunteering,No,3,Other,Walk-in,"02/11/2026, 7:26:21 PM",,,,,,,,
Priya Nair,9737838154,Surat,priya884@gmail.com,4,4,5,5,4,4,5,Fantastic food and great staff,"Fostering, Donating, Adopting, Volunteering",No,1,Google,,"02/11/2026, 8:53:54 PM",,,,,,,,
Simran Kaur,9309347860,Ahmedabad,simran582@gmail.com,2,4,4,2,3,3,3,Good but can improve,"Volunteering, Fostering",Yes,4,Word of Mouth,,"02/11/2026, 11:29:34 PM",,,,,,,,
Rohit Jain,9211550913,Ahmedabad,rohit262@gmail.com,2,2,2,1,1,1,2,Very bad service and rude staff,"Adopting, Donating, Volunteering",No,4,Other,Ads,"02/14/2026, 12:06:21 AM",,,,,,,,
Arjun Kapoor,9042904428,Mumbai,arjun975@gmail.com,3,4,2,3,2,4,4,Food was fine,"Adopting, Donating, Fostering, Volunteering",No,2,Other,nan,"02/14/2026, 3:54:52 PM",,,,,,,,
Arjun Kapoor,9629568757,Noida,arjun101@gmail.com,1,1,2,2,1,1,2,Very bad service and rude staff,"Volunteering, Donating",Yes,3,Other,Event,"02/14/2026, 4:15:11 PM",,,,,,,,
Riya Sharma,9487402781,Pune,riya80@gmail.com,4,4,4,4,4,4,4,Perfect ambience and service,"Donating, Volunteering, Adopting",No,2,Other,Event,"02/14/2026, 8:06:40 PM",,,,,,,,
Ishita Gupta,9869521851,Kochi,ishita886@gmail.com,1,2,2,1,1,2,2,Cleanliness was unacceptable,"Donating, Volunteering, Fostering",Yes,2,Other,nan,"02/15/2026, 2:25:47 AM",,,,,,,,
Dev Shah,9560411639,Kolkata,dev501@gmail.com,4,2,3,2,4,4,3,"Decent place, nothing special",Volunteering,Yes,3,Google,,"02/15/2026, 1:17:12 PM",,,,,,,,
Sahil Khan,9858427414,Chennai,sahil974@gmail.com,2,2,1,2,2,1,2,Cleanliness was unacceptable,Fostering,Yes,2,Word of Mouth,,"02/16/2026, 3:40:25 AM",,,,,,,,
Aditya Roy,9458924907,Bangalore,aditya264@gmail.com,4,4,3,3,2,3,2,Food was fine,"Fostering, Donating, Volunteering",No,1,Word of Mouth,,"02/16/2026, 5:00:38 PM",,,,,,,,
Simran Kaur,9029354278,Nagpur,simran750@gmail.com,3,2,4,4,3,4,4,Average experience overall,Donating,Yes,1,Word of Mouth,,"02/17/2026, 12:12:45 PM",,,,,,,,
Sneha Joshi,9244057204,Indore,sneha830@gmail.com,2,1,1,2,1,1,2,"Not satisfied, won't visit again","Fostering, Volunteering, Adopting, Donating",No,2,Other,nan,"02/18/2026, 6:34:54 PM",,,,,,,,
Ananya Iyer,9570192284,Mumbai,ananya933@gmail.com,1,1,1,2,2,1,1,Terrible experience overall,"Volunteering, Fostering, Donating",Yes,4,Other,nan,"02/18/2026, 7:08:05 PM",,,,,,,,
Neha Verma,9147516524,Nagpur,neha649@gmail.com,2,1,2,2,2,1,1,Cleanliness was unacceptable,"Donating, Adopting, Fostering",No,2,Other,Walk-in,"02/19/2026, 12:08:11 AM",,,,,,,,
Pooja Reddy,9653700584,Nagpur,pooja426@gmail.com,3,4,4,4,4,2,2,"Decent place, nothing special","Fostering, Donating",Yes,2,Google,,"02/19/2026, 12:51:33 AM",,,,,,,,
Dev Shah,9577087079,Pune,dev254@gmail.com,4,4,4,5,5,4,5,"Absolutely loved it, will come again","Adopting, Volunteering",No,2,Other,Event,"02/19/2026, 2:03:12 AM",,,,,,,,
Vikram Desai,9881026119,Ahmedabad,vikram614@gmail.com,5,5,4,4,5,4,4,"Absolutely loved it, will come again","Fostering, Adopting, Donating, Volunteering",No,4,Other,Walk-in,"02/19/2026, 7:57:30 AM",,,,,,,,
Sahil Khan,9761131640,Delhi,sahil883@gmail.com,1,2,2,2,2,1,2,Food quality was poor,Volunteering,No,5,Other,nan,"02/19/2026, 1:13:03 PM",,,,,,,,
